date,value
1985-01-01,370750
1985-02-01,391750
1985-03-01,380800
1985-04-01,398250
1985-05-01,392750
1985-06-01,392400
1985-07-01,378250
1985-08-01,404400
1985-09-01,408500
1985-10-01,405750
1985-11-01,393400
1985-12-01,385250
1986-01-01,366750
1986-02-01,369500
1986-03-01,381200
1986-04-01,385750
1986-05-01,386000
1986-06-01,370500
1986-07-01,362000
1986-08-01,407400
1986-09-01,395500
1986-10-01,383250
1986-11-01,363200
1986-12-01,358250
1987-01-01,345600
1987-02-01,348750
1987-03-01,333250
1987-04-01,336250
1987-05-01,331000
1987-06-01,322250
1987-07-01,319250
1987-08-01,325600
1987-09-01,309750
1987-10-01,300000
1987-11-01,306750
1987-12-01,318750
1988-01-01,335600
1988-02-01,318750
1988-03-01,305500
1988-04-01,312200
1988-05-01,313750
1988-06-01,308250
1988-07-01,321600
1988-08-01,314750
1988-09-01,304500
1988-10-01,291400
1988-11-01,290500
1988-12-01,293200
1989-01-01,289750
1989-02-01,303750
1989-03-01,322000
1989-04-01,311800
1989-05-01,324500
1989-06-01,333000
1989-07-01,341600
1989-08-01,334500
1989-09-01,336000
1989-10-01,363250
1989-11-01,336750
1989-12-01,355200
1990-01-01,361000
1990-02-01,358250
1990-03-01,345200
1990-04-01,361750
1990-05-01,355250
1990-06-01,362400
1990-07-01,367000
1990-08-01,384250
1990-09-01,394000
1990-10-01,425250
1990-11-01,446750
1990-12-01,455000
1991-01-01,439750
1991-02-01,484000
1991-03-01,498600
1991-04-01,467250
1991-05-01,447000
1991-06-01,428600
1991-07-01,418250
1991-08-01,431600
1991-09-01,424500
1991-10-01,422750
1991-11-01,445400
1991-12-01,456750
1992-01-01,439000
1992-02-01,442200
1992-03-01,429500
1992-04-01,418250
1992-05-01,417400
1992-06-01,418750
1992-07-01,442750
1992-08-01,407200
1992-09-01,417000
1992-10-01,377800
1992-11-01,362250
1992-12-01,339000
1993-01-01,345600
1993-02-01,338250
1993-03-01,351000
1993-04-01,354750
1993-05-01,343600
1993-06-01,342750
1993-07-01,350800
1993-08-01,341000
1993-09-01,339000
1993-10-01,349800
1993-11-01,341000
1993-12-01,323000
1994-01-01,359200
1994-02-01,348500
1994-03-01,335750
1994-04-01,344000
1994-05-01,359000
1994-06-01,340000
1994-07-01,342200
1994-08-01,336250
1994-09-01,330250
1994-10-01,333400
1994-11-01,328000
1994-12-01,323200
1995-01-01,333500
1995-02-01,337750
1995-03-01,340250
1995-04-01,350200
1995-05-01,370250
1995-06-01,366250
1995-07-01,371400
1995-08-01,356250
1995-09-01,362000
1995-10-01,371500
1995-11-01,377000
1995-12-01,365000
1996-01-01,374000
1996-02-01,377250
1996-03-01,386400
1996-04-01,359250
1996-05-01,344500
1996-06-01,342200
1996-07-01,337000
1996-08-01,331800
1996-09-01,342750
1996-10-01,339000
1996-11-01,336400
1996-12-01,353500
1997-01-01,339000
1997-02-01,320750
1997-03-01,319400
1997-04-01,327000
1997-05-01,323800
1997-06-01,325500
1997-07-01,320250
1997-08-01,330200
1997-09-01,315250
1997-10-01,310000
1997-11-01,314600
1997-12-01,313250
1998-01-01,321200
1998-02-01,319000
1998-03-01,315000
1998-04-01,311000
1998-05-01,311200
1998-06-01,338000
1998-07-01,333000
1998-08-01,312600
1998-09-01,304000
1998-10-01,310600
1998-11-01,316000
1998-12-01,316000
1999-01-01,326200
1999-02-01,301500
1999-03-01,302750
1999-04-01,308500
1999-05-01,301600
1999-06-01,294000
1999-07-01,298000
1999-08-01,290750
1999-09-01,289500
1999-10-01,290400
1999-11-01,281750
1999-12-01,278500
2000-01-01,288400
2000-02-01,293750
2000-03-01,274750
2000-04-01,271600
2000-05-01,282250
2000-06-01,291000
2000-07-01,295000
2000-08-01,312750
2000-09-01,300200
2000-10-01,301000
2000-11-01,334250
2000-12-01,346000
2001-01-01,340000
2001-02-01,371250
2001-03-01,387200
2001-04-01,396750
2001-05-01,394500
2001-06-01,397200
2001-07-01,398000
2001-08-01,398000
2001-09-01,435000
2001-10-01,480750
2001-11-01,447500
2001-12-01,416800
2002-01-01,408500
2002-02-01,399000
2002-03-01,415400
2002-04-01,429250
2002-05-01,409000
2002-06-01,387200
2002-07-01,386000
2002-08-01,393600
2002-09-01,409500
2002-10-01,407500
2002-11-01,392200
2002-12-01,414250
2003-01-01,395000
2003-02-01,411000
2003-03-01,427400
2003-04-01,436250
2003-05-01,424000
2003-06-01,421750
2003-07-01,411500
2003-08-01,400200
2003-09-01,395500
2003-10-01,382000
2003-11-01,363000
2003-12-01,358250
2004-01-01,360200
2004-02-01,360750
2004-03-01,342000
2004-04-01,348250
2004-05-01,336200
2004-06-01,349000
2004-07-01,343000
2004-08-01,340750
2004-09-01,337250
2004-10-01,334000
2004-11-01,328750
2004-12-01,325250
2005-01-01,343400
2005-02-01,311750
2005-03-01,332000
2005-04-01,323200
2005-05-01,327000
2005-06-01,325750
2005-07-01,324400
2005-08-01,315750
2005-09-01,382750
2005-10-01,352200
2005-11-01,317250
2005-12-01,316400
2006-01-01,295750
2006-02-01,290750
2006-03-01,301750
2006-04-01,303600
2006-05-01,332750
2006-06-01,305500
2006-07-01,318800
2006-08-01,314250
2006-09-01,316200
2006-10-01,315500
2006-11-01,326250
2006-12-01,324000
2007-01-01,317250
2007-02-01,322750
2007-03-01,309400
2007-04-01,320250
2007-05-01,304250
2007-06-01,315200
2007-07-01,313250
2007-08-01,320000
2007-09-01,313400
2007-10-01,328250
2007-11-01,336000
2007-12-01,348200
2008-01-01,338750
2008-02-01,346750
2008-03-01,363400
2008-04-01,359500
2008-05-01,366800
2008-06-01,383250
2008-07-01,398000
2008-08-01,433000
2008-09-01,464000
2008-10-01,475250
2008-11-01,519800
2008-12-01,564000
2009-01-01,572000
2009-02-01,644000
2009-03-01,659250
2009-04-01,627750
2009-05-01,612000
2009-06-01,598250
2009-07-01,566500
2009-08-01,559200
2009-09-01,547500
2009-10-01,525400
2009-11-01,494000
2009-12-01,485500
2010-01-01,479800
2010-02-01,485750
2010-03-01,470250
2010-04-01,469000
2010-05-01,459400
2010-06-01,460500
2010-07-01,459200
2010-08-01,475000
2010-09-01,453500
2010-10-01,446800
2010-11-01,426250
2010-12-01,420250
2011-01-01,426800
2011-02-01,401500
2011-03-01,406000
2011-04-01,420600
2011-05-01,422500
2011-06-01,418250
2011-07-01,412600
2011-08-01,409500
2011-09-01,417750
2011-10-01,402400
2011-11-01,389250
2011-12-01,377000
2012-01-01,377750
2012-02-01,363250
2012-03-01,366600
2012-04-01,381750
2012-05-01,373500
2012-06-01,379200
2012-07-01,372500
2012-08-01,373250
2012-09-01,381800
2012-10-01,368500
2012-11-01,401250
2012-12-01,359000
2013-01-01,353000
2013-02-01,353000
2013-03-01,351800
